n;x;y
0;0;108
1;40.4;108
2;40.4;98.6
3;36.4;95.6
4;36.4;88.4
5;38.4;83.4
6;47.4;74.4
7;55.4;63.4
8;59.4;56.4
9;62.4;49.4
10;64.4;43.4
11;65.4;37.4
12;65.4;33
13;65.4;33
14;65.4;-74
15;65.4;-74
16;65.4;-74.5
17;64.4;-78.5
18;62.4;-83.5
19;59.4;-88.5
20;57.4;-92.5
21;54.4;-96.5
22;50.4;-100.5
23;45.4;-103.5
24;43.4;-105.5
25;38.4;-105.5
26;30.4;-103.5
27;20.4;-101.5
28;10.4;-100.5
29;2.4;-99.5
30;0;-99.5
